mcc,mnc,radio,area_code,cell_id,area_name,district,state,confidence,last_seen
405,869,NR,89,4367237120,KODUPPAIKUZHI,KANYAKUMARI,Tamil Nadu,90,0
404,94,LTE,55119,168478730,KODUPPAIKUZHI,KANYAKUMARI,Tamil Nadu,85,0
